Object IDs,First Version Object ID,KeyValuePair.Assembly Key,First Category,First elementId,Sum of Embodied Carbon_lbs/CO2,First Area,Sum of Embodied Carbon per ft2(lbsCO2/ft2)
078078e78093eb64bc4b92faa7f86174,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,13620625,143.4146133,27.35416667,5.24288
080165f61fadcb240255576c807334cb,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,16021165,1197.216796,42.8891059,27.91424
0815654b5e869eafd3f8571882d7c676,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,16004577,307.5330838,11.01706813,27.91424
091c95f147e604330fd20fe2eb6534e0,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13577309,3762.64328,134.7929687,27.91424
09b1ccf25af1e0ca86b2ae5403f0620d,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,13490099,80.93696,15.4375,5.24288
0b1303e0ae407331e4090e0cb70ebed5,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13541516,9684.478708,346.9368576,27.91424
0c39b792a94dc7bda85b8d47960db46f,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,16308981,2213.94816,79.3125,27.91424
0e1fd1323ca44dd25aa171ed3371b3b9,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13726734,854.8736,30.625,27.91424
0e6cc75a404532fe55a93b6693a0a665,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13740196,2929.25056,104.9375,27.91424
0ed92255c05047d4a964b394515ee6ef,15734f8ae9f81ad6e273d75acad015f6,W06,Walls,15023126,2029.012992,59.625,34.029568
0f259ab162612732fac8a50cd15eb638,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,13554444,137936.1611,3217.947499,42.86464
0f8dd58ac934226bae019fa30d2cfadb,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10805869,450.1898133,16.12760417,27.91424
10196fb7dec7a2664cf9969516b21330,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11257752,1760.487147,63.06770833,27.91424
11a260c31d1bcb8975a64af9ca87ebfb,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,14919759,7185.55968,318.09375,22.58944
125d998ef377ea3557141dea1cf9ee48,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,15991004,8567.345493,306.9166667,27.91424
134107a80fe82462c04f8e8f097a4ee9,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,13620608,108.62592,20.71875,5.24288
136c0d9dda5121eb9446b27835fff0b1,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13620719,595.5037867,21.33333333,27.91424
138410ff9f5d2e404d145bc4803c7b9f,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10246763,23040.152,825.390625,27.91424
1400b07a4e490a48ba65341c922330c5,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,16063920,31.01657777,5.91594272,5.24288
1452ca973b56848a6045ab1cc24fa4a8,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,10789632,2202.4704,97.5,22.58944
1650f31c860d1fab7950f7944f4986cd,15734f8ae9f81ad6e273d75acad015f6,W05,Walls,14544523,12222.80977,987.7803429,12.374016
16a625fecfdc0c33a826f78996241ca8,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13577282,1716.338062,61.48611111,27.91424
16b2bbf9ed46fb272eb61f1486a09b50,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10693741,2600.676693,93.16666667,27.91424
16fac87ff21d6b34f0daf6e93633c2bb,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,15208182,850.1486933,19.83333333,42.86464
171d6975cc1ca2264eafb8a430172a4b,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,15983788,1241.602133,44.47916667,27.91424
1898443711cf9e7b6f8045f2a252d237,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10340288,301.82272,10.8125,27.91424
1a107bca68f90febe4ab741e255742ff,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11002708,2116.829867,75.83333333,27.91424
1a802e9a1123c47bceb950fa383a93c0,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,15177799,3772.08832,88,42.86464
1ac0fe1019df151bf2913bf95dab4e5a,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,10395441,7284.937529,322.4930556,22.58944
1bd906fca6b318ed34ea5cbfdcb6e73c,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10782885,673.5037333,24.12760417,27.91424
1c42bb80a4566ae5195664a8e2400136,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10780869,2214.723556,79.34027778,27.91424
1c68f86b1218a2e59b56f79077cc83e7,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,16041166,34.66126222,6.611111111,5.24288
1c8fd48e7b87123d7dd20c5d93539017,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13748779,736.23808,26.375,27.91424
1cd77d4f3e735f90e39138da01dfc257,15734f8ae9f81ad6e273d75acad015f6,W09,Walls,10463975,820.6419857,53.80022752,15.253504
1d3c7263211b1a28ef14603a9f150bd2,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10445216,4234.047431,151.6805556,27.91424
1d76c3f50d9b27e77d40589fc35cbf81,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13742119,2049.952,73.4375,27.91424
